;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;city_code;product;product_type
0/Beans/temporary;15.0;6.0;5.0;6.0;8.0;8.0;10.0;;15.0;15.0;15.0;15.0;15.0;;;15.0;25.0;;20.0;15.0;;0307883b5d063703;Beans;temporary
0/Cassava/temporary;235.0;100.0;40.0;100.0;40.0;40.0;60.0;150.0;50.0;100.0;120.0;100.0;100.0;110.0;150.0;100.0;150.0;116.0;200.0;50.0;116.0;0307883b5d063703;Cassava;temporary
0/Corn/temporary;215.0;100.0;50.0;70.0;70.0;60.0;70.0;;60.0;80.0;80.0;80.0;80.0;;;80.0;;;50.0;60.0;;0307883b5d063703;Corn;temporary
0/Livestock/pasture;11349.62901;14146.67205;13548.31541;10631.87057;7243.590422;3527.520999;3440.544659;5208.068994;5874.184988;6700.275067;6140.33624;6929.923104;9385.32838;8370.417622;5028.745172;3806.975671;5461.526987;8891.339582;9911.864474;9992.379236;8384.741529;0307883b5d063703;Livestock;pasture
0/Others/permanent;30.0;25.0;26.0;55.0;54.0;52.0;0.0;0.0;0.0;20.0;20.0;20.0;20.0;20.0;20.0;60.0;60.0;60.0;63.0;67.0;76.0;0307883b5d063703;Others;permanent
0/Others/temporary;20.0;15.0;20.0;30.0;20.0;20.0;0.0;5.0;5.0;5.0;5.0;5.0;5.0;7.0;4.0;1.0;1.0;1.0;15.0;14.0;14.0;0307883b5d063703;Others;temporary
1/Beans/temporary;250.0;900.0;1000.0;1000.0;1000.0;700.0;1200.0;120.0;680.0;300.0;450.0;180.0;300.0;120.0;120.0;350.0;180.0;150.0;180.0;850.0;100.0;03e477d4ede00e89;Beans;temporary
1/Cassava/temporary;600.0;700.0;900.0;1400.0;900.0;600.0;500.0;900.0;800.0;800.0;800.0;800.0;900.0;900.0;900.0;900.0;800.0;1000.0;900.0;1000.0;900.0;03e477d4ede00e89;Cassava;temporary
1/Corn/temporary;350.0;300.0;200.0;150.0;400.0;220.0;400.0;200.0;500.0;300.0;600.0;230.0;270.0;360.0;200.0;300.0;200.0;100.0;230.0;550.0;250.0;03e477d4ede00e89;Corn;temporary
1/Livestock/pasture;18808.23444;19936.40924;22153.08035;26202.16034;27194.94656;28938.51553;31672.28538;31391.58763;31467.27926;32494.65938;32082.15331;32218.96787;33387.45329;33957.61841;33381.28818;32340.87379;32557.05224;33481.73887;34004.09117;34426.35333;35037.71106;03e477d4ede00e89;Livestock;pasture
1/Others/permanent;350.0;345.0;465.0;420.0;438.0;623.0;673.0;523.0;618.0;708.0;708.0;613.0;613.0;593.0;463.0;435.0;435.0;435.0;385.0;435.0;730.0;03e477d4ede00e89;Others;permanent
1/Others/temporary;240.0;222.0;15.0;15.0;20.0;20.0;35.0;45.0;45.0;45.0;45.0;45.0;45.0;30.0;30.0;30.0;30.0;30.0;30.0;2.0;0.0;03e477d4ede00e89;Others;temporary
1/Rice/temporary;25.0;30.0;30.0;30.0;22.0;15.0;20.0;;25.0;;25.0;;;;;;;;;20.0;10.0;03e477d4ede00e89;Rice;temporary
10/Beans/temporary;3428.0;10200.0;12240.0;12240.0;1080.0;4673.0;509.0;503.0;280.0;280.0;1005.0;470.0;420.0;470.0;690.0;1106.0;580.0;470.0;910.0;281.0;174.0;0ea136556d12fc16;Beans;temporary
10/Cassava/temporary;7020.0;21240.0;21240.0;21240.0;4588.0;11470.0;4000.0;1180.0;2000.0;1325.0;2500.0;1987.0;1325.0;2100.0;1193.0;2250.0;1193.0;2660.0;2981.0;1440.0;1490.0;0ea136556d12fc16;Cassava;temporary
10/Cocoa/permanent;1650.0;182.0;1178.0;250.0;1571.0;412.0;1654.0;250.0;2600.0;1654.0;412.0;2600.0;182.0;412.0;1902.0;1902.0;2600.0;1654.0;412.0;1902.0;180.0;0ea136556d12fc16;Cocoa;permanent
10/Corn/temporary;27000.0;70000.0;98000.0;98000.0;10000.0;20000.0;8845.0;12300.0;4752.0;7202.0;5252.0;11462.0;10863.0;12300.0;12604.0;6302.0;12604.0;12300.0;12604.0;4902.0;3492.0;0ea136556d12fc16;Corn;temporary
10/Livestock/pasture;353244.2437;421392.3437;475099.316;531939.7698;603561.3849;716437.0601;873199.7365;1012250.018;1115800.109;1219426.481;1312191.059;1393971.427;1446384.247;1487172.041;1522669.364;1522928.476;1528925.413;1542745.188;1570097.796;1598138.725;1626070.83;0ea136556d12fc16;Livestock;pasture
10/Others/permanent;5050.0;15115.0;15145.0;15145.0;15100.0;13545.0;13545.0;3290.0;1685.0;1652.0;1812.0;1510.0;1510.0;2519.0;1020.0;1010.0;1010.0;1310.0;1610.0;1610.0;1610.0;0ea136556d12fc16;Others;permanent
10/Others/temporary;225.0;333.0;333.0;330.0;330.0;70.0;70.0;2.0;2.0;28.0;31.0;55.0;55.0;90.0;158.0;143.0;143.0;182.0;202.0;201.0;114.0;0ea136556d12fc16;Others;temporary
