;2015;2016;2017
0;19500.0;19500.0;19500.0
1;0;0;0
2;4000.0;4500.0;4900.0
3;;0;0
4;28.0;28.0;30.0
5;310.0;527.0;777.0
6;148.0;148.0;128.0
7;50.0;50.0;50.0
8;55.0;43.0;61.0
9;0;0;40.0
10;195.0;195.0;195.0
11;10.0;50.0;50.0
12;250.0;250.0;250.0
13;34.0;54.0;54.0
14;123.0;80.0;116.0
15;130.0;324.0;180.0
16;0;0;0
17;5200.0;8000.0;11000.0
18;;;1141.0
19;20.0;20.0;10.0
20;;;150.0
21;70.0;70.0;70.0
22;0;20.0;30.0
23;40.0;80.0;80.0
24;0;10.0;10.0
25;0;0;0
26;430.0;490.0;490.0
27;147.0;548.0;5928.0
28;6400.0;6300.0;6200.0
29;20.0;100.0;400.0
30;700.0;600.0;600.0
31;20000.0;20000.0;20000.0
32;0;0;0
33;0;30.0;15.0
34;10.0;30.0;215.0
35;1000.0;900.0;800.0
36;;0;0
37;32.0;15.0;5.0
38;0;0;0
39;2200.0;1800.0;2100.0
40;0;0;0
41;20.0;20.0;20.0
42;348.0;298.0;340.0
43;390.0;390.0;390.0
44;140.0;120.0;100.0
45;50.0;50.0;50.0
46;0;0;15.0
47;0;0;0
48;0;0;0
49;0;250.0;90.0
50;0;0;0
51;100.0;380.0;380.0
52;182.0;140.0;82.0
53;35800.0;35950.0;40000.0
54;4300.0;2100.0;1800.0
55;0;0;0
56;560.0;600.0;510.0
57;0;0;75.0
58;100.0;250.0;250.0
59;0;0;0
60;0;0;0
61;35.0;20.0;20.0
62;8850.0;6650.0;6650.0
63;0;0;0
64;100.0;130.0;0
65;40.0;40.0;40.0
66;80.0;61.0;43.0
67;20.0;8.0;3.0
68;;;18.0
69;300.0;70.0;70.0
70;0;1000.0;1250.0
71;442.0;500.0;550.0
72;2000.0;4000.0;4000.0
73;80.0;60.0;60.0
74;18.0;18.0;18.0
75;500.0;2500.0;1750.0
76;200.0;200.0;300.0
77;30.0;30.0;30.0
78;0;0;0
79;26.0;26.0;26.0
80;250.0;350.0;250.0
81;12.0;7.0;7.0
82;3000.0;2800.0;4200.0
83;0;0;0
84;0;20.0;0
85;20.0;20.0;20.0
86;27.0;27.0;27.0
87;0;0;0
88;22.0;25.0;25.0
89;200.0;220.0;220.0
90;0;0;0
91;0;10.0;15.0
92;0;0;0
93;0;0;0
94;3300.0;3300.0;3300.0
95;538.0;25000.0;28000.0
96;35.0;250.0;250.0
97;200.0;180.0;180.0
98;0;0;0
99;8.0;8.0;12.0
100;0;0;0
101;0;0;0
102;0;0;0
103;0;0;0
104;0;0;0
105;50.0;30.0;30.0
106;20.0;20.0;200.0
107;700.0;700.0;1000.0
108;0;10.0;5.0
109;0;0;0
110;180.0;150.0;120.0
111;0;0;0
112;31.0;31.0;31.0
113;0;0;0
114;750.0;700.0;600.0
115;130.0;130.0;100.0
116;100.0;110.0;160.0
117;410.0;500.0;400.0
118;0;0;0
119;200.0;130.0;80.0
120;0;0;0
121;0;0;0
122;0;15.0;0
123;0;100.0;100.0
124;380.0;300.0;300.0
125;1560.0;2000.0;5000.0
126;0;0;0
127;0;0;0
128;0;0;0
129;180.0;180.0;180.0
130;270.0;120.0;75.0
131;10.0;10.0;0
132;2550.0;2550.0;3200.0
133;10.0;50.0;50.0
134;10.0;30.0;146.0
135;20.0;20.0;20.0
136;4550.0;4550.0;4550.0
137;55.0;60.0;60.0
138;10.0;10.0;10.0
139;90.0;158.0;50.0
140;10.0;1000.0;1000.0
141;0;0;0
142;0;5.0;5.0
