;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
286;Abaetetuba (PA);295.0;295.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;35.0;35.0;35.0;35.0;35.0;80.0;80.0;80.0;80.0;80.0;Cocoa;81.19047619047619
287;Abel Figueiredo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
288;Acará (PA);533.0;533.0;453.0;253.0;363.0;363.0;363.0;363.0;363.0;490.0;497.0;580.0;680.0;680.0;680.0;800.0;800.0;800.0;1000.0;1000.0;1120.0;Cocoa;605.4285714285714
289;Afuá (PA);0;0;4.0;4.0;0;0;0;;;;0;;;;0;0;0;;;0;0;Cocoa;0.6153846153846154
290;Água Azul do Norte (PA);0;0;0;0;10.0;0;0;0;0.0;0.0;0;10.0;10.0;10.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;Cocoa;11.904761904761905
291;Alenquer (PA);0;803.0;831.0;795.0;795.0;795.0;795.0;795.0;795.0;795.0;795.0;795.0;480.0;480.0;580.0;580.0;580.0;580.0;463.0;417.0;417.0;Cocoa;636.4761904761905
292;Almeirim (PA);10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;20.0;20.0;18.0;20.0;20.0;25.0;35.0;35.0;110.0;120.0;35.0;Cocoa;27.0
293;Altamira (PA);3328.0;3330.0;1510.0;1206.0;1491.0;1491.0;2940.0;2940.0;2940.0;2940.0;3350.0;3055.0;3900.0;3900.0;4700.0;4700.0;5021.0;6849.0;6850.0;7369.0;7369.0;Cocoa;3865.6666666666665
294;Anajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
295;Ananindeua (PA);0;0;0;0;0;;;;;;0;;0;0;0;0;0;0;0;0;0;Cocoa;0.0
296;Anapu (PA);150.0;150.0;150.0;222.0;222.0;222.0;1076.0;1076.0;639.0;640.0;870.0;1070.0;1070.0;2860.0;3120.0;3120.0;3990.0;4720.0;4720.0;5257.0;5257.0;Cocoa;1933.3809523809523
297;Augusto Corrêa (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
298;Aurora do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
299;Aveiro (PA);280.0;330.0;305.0;325.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;52.0;52.0;52.0;52.0;52.0;52.0;100.0;100.0;300.0;300.0;Cocoa;126.0
300;Bagre (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
301;Baião (PA);200.0;200.0;200.0;200.0;200.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;180.0;180.0;240.0;250.0;260.0;250.0;260.0;Cocoa;189.04761904761904
302;Bannach (PA);120.0;120.0;120.0;120.0;120.0;0;60.0;0;0;0;0;5.0;5.0;5.0;5.0;8.0;8.0;8.0;8.0;8.0;8.0;Cocoa;34.666666666666664
303;Barcarena (PA);575.0;410.0;410.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;1200.0;1200.0;1200.0;1500.0;Cocoa;542.6190476190476
304;Belém (PA);0;0;;0;0;;;;;0;0;;;;0;0;0;0;;;0;Cocoa;0.0
305;Belterra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
306;Benevides (PA);0;49.0;0;0;0;;;;;;0;;;;0;0;;;;;0;Cocoa;5.444444444444445
307;Bom Jesus do Tocantins (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
308;Bonito (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
309;Bragança (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
310;Brasil Novo (PA);3539.0;3540.0;3540.0;3540.0;3175.0;2605.0;3295.0;2859.0;2859.0;3295.0;3325.0;4000.0;4000.0;3445.0;3443.0;3443.0;4335.0;5115.0;5125.0;5598.0;5598.0;Cocoa;3794.0
311;Brejo Grande do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
312;Breu Branco (PA);20.0;20.0;20.0;20.0;20.0;20.0;20.0;30.0;30.0;30.0;30.0;50.0;40.0;90.0;90.0;115.0;115.0;165.0;165.0;215.0;215.0;Cocoa;72.38095238095238
313;Breves (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
314;Bujaru (PA);30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;38.0;83.0;83.0;83.0;83.0;80.0;80.0;80.0;0;0;0;0;0;Cocoa;40.476190476190474
315;Cachoeira do Piriá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
316;Cachoeira do Arari (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
317;Cametá (PA);4050.0;2255.0;3390.0;3390.0;3340.0;5610.0;5610.0;5610.0;5610.0;5610.0;5610.0;5613.0;5613.0;5613.0;5613.0;5613.0;6346.0;6396.0;6396.0;6396.0;7000.0;Cocoa;5270.666666666667
318;Canaã dos Carajás (PA);40.0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;2.142857142857143
319;Capanema (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
320;Capitão Poço (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
321;Castanhal (PA);172.0;172.0;172.0;172.0;85.0;100.0;100.0;100.0;70.0;70.0;70.0;70.0;75.0;75.0;60.0;60.0;110.0;60.0;110.0;120.0;60.0;Cocoa;99.19047619047619
322;Chaves (PA);0;0;0;0;0;0;0;;;;0;;;;0;0;0;;;0;0;Cocoa;0.0
323;Colares (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
324;Conceição do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
325;Concórdia do Pará (PA);0;0;0;0;0;30.0;115.0;105.0;115.0;115.0;115.0;240.0;270.0;270.0;270.0;270.0;270.0;270.0;370.0;270.0;290.0;Cocoa;161.1904761904762
326;Cumaru do Norte (PA);540.0;540.0;540.0;540.0;540.0;540.0;540.0;350.0;350.0;350.0;350.0;50.0;50.0;70.0;70.0;100.0;15.0;20.0;30.0;55.0;55.0;Cocoa;271.1904761904762
327;Curionópolis (PA);0;0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;0;0;0;0;0;0;Cocoa;24.761904761904763
328;Curralinho (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
329;Curuá (PA);0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;20.952380952380953
330;Curuçá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
