;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
429;Abaetetuba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000.0;2000.0;2000.0;2000.0;2500.0;Palm oil;500.0
430;Abel Figueiredo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
431;Acará (PA);6700.0;6700.0;6700.0;6700.0;6700.0;6700.0;6700.0;6700.0;6700.0;7000.0;7000.0;7000.0;7100.0;7200.0;7000.0;7000.0;7000.0;9000.0;9000.0;13000.0;14000.0;Palm oil;7695.238095238095
432;Afuá (PA);0;0;0;0;0;0;0;;;;0;;;;0;0;0;;;0;0;Palm oil;0.0
433;Água Azul do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
434;Alenquer (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
435;Almeirim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
436;Altamira (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
437;Anajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
438;Ananindeua (PA);0;0;0;0;0;;;;;;0;;0;0;0;0;0;0;0;0;0;Palm oil;0.0
439;Anapu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
440;Augusto Corrêa (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
441;Aurora do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
442;Aveiro (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
443;Bagre (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
444;Baião (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.0;Palm oil;1.9047619047619047
445;Bannach (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
446;Barcarena (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
447;Belém (PA);0;0;;0;0;;;;;0;0;;;;0;0;0;0;;;0;Palm oil;0.0
448;Belterra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
449;Benevides (PA);0;0;0;0;0;;;;;;0;;;;0;0;;;;;0;Palm oil;0.0
450;Bom Jesus do Tocantins (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
451;Bonito (PA);0;0;0;0;0;0;1200.0;2000.0;2400.0;2400.0;2400.0;4200.0;4200.0;4200.0;4200.0;4200.0;4200.0;4200.0;4200.0;10320.0;10000.0;Palm oil;3062.8571428571427
452;Bragança (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
453;Brasil Novo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
454;Brejo Grande do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
455;Breu Branco (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
456;Breves (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
457;Bujaru (PA);0;50.0;50.0;50.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;300.0;300.0;300.0;300.0;310.0;310.0;1652.0;310.0;400.0;Palm oil;312.95238095238096
458;Cachoeira do Piriá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
459;Cachoeira do Arari (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
460;Cametá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
461;Canaã dos Carajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
462;Capanema (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
463;Capitão Poço (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;205.0;Palm oil;14.523809523809524
464;Castanhal (PA);2000.0;2000.0;2000.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;1000.0;800.0;800.0;1000.0;Palm oil;1361.904761904762
465;Chaves (PA);0;0;0;0;0;0;0;;;;0;;;;0;0;0;;;0;0;Palm oil;0.0
466;Colares (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
467;Conceição do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
468;Concórdia do Pará (PA);0;0;0;0;0;0;0;0.0;200.0;350.0;350.0;350.0;350.0;2000.0;2000.0;2000.0;2000.0;17900.0;17900.0;17900.0;21600.0;Palm oil;4042.8571428571427
469;Cumaru do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
470;Curionópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
471;Curralinho (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
472;Curuá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
