;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
1001;Abaetetuba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1002;Abel Figueiredo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;55.0;Soy;5.0
1003;Acará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1004;Afuá (PA);0;0;0;0;0;0;0;;;;0;;;;0;0;0;;;0;0;Soy;0.0
1005;Água Azul do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;300.0;0;0;0;0;0;0;0;0;300.0;Soy;28.571428571428573
1006;Alenquer (PA);0;150.0;0;0;0;0;0;475.0;600.0;600.0;0;0;0;0;0;0;0;0;0;0;0;Soy;86.9047619047619
1007;Almeirim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1008;Altamira (PA);0;0;0;150.0;150.0;150.0;150.0;150.0;200.0;200.0;200.0;60.0;250.0;250.0;250.0;250.0;250.0;800.0;3837.0;1500.0;2000.0;Soy;514.1428571428571
1009;Anajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1010;Ananindeua (PA);0;0;0;0;0;;;;;;0;;0;0;0;0;0;0;0;0;0;Soy;0.0
1011;Anapu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1012;Augusto Corrêa (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.0;0;0;0;Soy;0.9523809523809523
1013;Aurora do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1014;Aveiro (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1015;Bagre (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1016;Baião (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1017;Bannach (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1018;Barcarena (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1019;Belém (PA);0;0;;0;0;;;;;0;0;;;;0;0;0;0;;;0;Soy;0.0
1020;Belterra (PA);0;0;0;0;0;150.0;1400.0;5000.0;13500.0;8000.0;10000.0;15000.0;10150.0;11400.0;11800.0;11800.0;10807.0;13672.0;13672.0;13672.0;13672.0;Soy;7795.0
1021;Benevides (PA);0;0;0;0;0;;;;;;0;;;;0;0;;;;;0;Soy;0.0
1022;Bom Jesus do Tocantins (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1023;Bonito (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1024;Bragança (PA);0;0;0;0;0;0;0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;0;Soy;1.0952380952380953
1025;Brasil Novo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
