;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;city_code;product;product_type;mean
10/Cocoa/permanent;1650.0;182.0;1178.0;250.0;1571.0;412.0;1654.0;250.0;2600.0;1654.0;412.0;2600.0;182.0;412.0;1902.0;1902.0;2600.0;1654.0;412.0;1902.0;180.0;0ea136556d12fc16;Cocoa;permanent;1217.095238095238
104/Cocoa/permanent;20.0;11.0;11.0;11.0;11.0;11.0;18.0;11.0;20.0;11.0;20.0;35.0;20.0;110.0;120.0;11.0;10.0;35.0;25.0;35.0;11.0;ab984377b2dc0284;Cocoa;permanent;27.0
107/Cocoa/permanent;1640.0;2130.0;1770.0;5400.0;2085.0;2085.0;5400.0;3858.0;2330.0;1610.0;4310.0;4199.0;2296.0;3858.0;2296.0;1640.0;4199.0;4312.0;2085.0;1540.0;3565.0;ae345f007f327b22;Cocoa;permanent;2981.3333333333335
108/Cocoa/permanent;2990.0;3816.0;1200.0;1840.0;1840.0;1224.0;1017.0;1430.0;2390.0;910.0;4169.0;1224.0;3816.0;1200.0;2990.0;1200.0;4169.0;1590.0;1200.0;1590.0;3060.0;b0e4b4b27117562a;Cocoa;permanent;2136.4285714285716
113/Cocoa/permanent;44.0;;44.0;44.0;44.0;30.0;;44.0;;25.0;;;44.0;44.0;44.0;44.0;30.0;44.0;;44.0;44.0;ba4547c678a9a2e6;Cocoa;permanent;40.86666666666667
114/Cocoa/permanent;516.0;490.0;1225.0;552.0;552.0;552.0;851.0;1600.0;495.0;911.0;552.0;552.0;1600.0;459.0;464.0;490.0;1299.0;911.0;516.0;495.0;2130.0;bce36d2f8aa39d8b;Cocoa;permanent;819.6190476190476
116/Cocoa/permanent;7530.0;4535.0;8065.0;7530.0;8341.0;5620.0;10064.0;11905.0;5220.0;5620.0;5560.0;7530.0;5220.0;5010.0;13006.0;7530.0;13006.0;5560.0;8341.0;5620.0;11905.0;be8a37473dc63db0;Cocoa;permanent;7748.476190476191
119/Cocoa/permanent;1105.0;100.0;1125.0;986.0;1105.0;1125.0;1105.0;1100.0;1105.0;1105.0;1105.0;1200.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1125.0;1105.0;1125.0;c129d0cd5f1afd51;Cocoa;permanent;1059.5714285714287
127/Cocoa/permanent;220.0;155.0;155.0;101.0;101.0;145.0;133.0;101.0;354.0;269.0;300.0;190.0;260.0;100.0;220.0;200.0;133.0;101.0;150.0;220.0;101.0;d6f1f98b1745e004;Cocoa;permanent;176.61904761904762
129/Cocoa/permanent;200.0;120.0;120.0;120.0;200.0;200.0;120.0;200.0;200.0;200.0;200.0;200.0;;120.0;120.0;200.0;;200.0;120.0;120.0;200.0;de1994d393ef525a;Cocoa;permanent;166.31578947368422
130/Cocoa/permanent;1200.0;350.0;350.0;410.0;350.0;350.0;1500.0;350.0;350.0;410.0;1200.0;350.0;350.0;350.0;1200.0;350.0;350.0;350.0;575.0;350.0;350.0;df19203419d2ea64;Cocoa;permanent;542.6190476190476
132/Cocoa/permanent;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;e635f6b0f8a98808;Cocoa;permanent;2.0
133/Cocoa/permanent;795.0;795.0;795.0;803.0;580.0;795.0;795.0;580.0;463.0;580.0;831.0;795.0;795.0;;417.0;795.0;580.0;795.0;480.0;480.0;417.0;eac302b92f87d9ca;Cocoa;permanent;668.3
135/Cocoa/permanent;170.0;;0.0;400.0;900.0;;;200.0;;1400.0;;;400.0;;1400.0;;0.0;200.0;1400.0;;400.0;f1fd357c5adaa8dc;Cocoa;permanent;572.5
136/Cocoa/permanent;40.0;;;40.0;40.0;40.0;40.0;40.0;;;40.0;40.0;40.0;;40.0;;40.0;;40.0;40.0;;f39d21744916469c;Cocoa;permanent;40.0
14/Cocoa/permanent;100.0;110.0;85.0;60.0;110.0;70.0;172.0;75.0;172.0;60.0;172.0;60.0;60.0;120.0;100.0;75.0;172.0;70.0;100.0;70.0;70.0;11645a57d3a1d507;Cocoa;permanent;99.19047619047619
140/Cocoa/permanent;17.0;18.0;41.0;100.0;45.0;41.0;11.0;11.0;41.0;18.0;45.0;41.0;18.0;45.0;41.0;18.0;40.0;;18.0;75.0;80.0;f8e70145d73bd728;Cocoa;permanent;38.2
142/Cocoa/permanent;135.0;730.0;1060.0;135.0;1800.0;15.0;135.0;15.0;1210.0;235.0;135.0;900.0;15.0;15.0;900.0;90.0;1800.0;15.0;135.0;900.0;1060.0;fae378a53734da72;Cocoa;permanent;544.5238095238095
143/Cocoa/permanent;20.0;10.0;20.0;20.0;10.0;20.0;30.0;20.0;20.0;20.0;20.0;30.0;20.0;20.0;20.0;20.0;10.0;20.0;30.0;10.0;20.0;fda49275fbf5caf6;Cocoa;permanent;19.523809523809526
16/Cocoa/permanent;52.0;42.0;42.0;52.0;52.0;52.0;305.0;280.0;100.0;325.0;42.0;300.0;42.0;52.0;42.0;42.0;100.0;42.0;300.0;52.0;330.0;13804a196311e1ba;Cocoa;permanent;126.0
17/Cocoa/permanent;2963.0;1293.0;3313.0;3900.0;1293.0;4300.0;2293.0;691.0;691.0;3634.0;3219.0;3313.0;1293.0;1593.0;691.0;691.0;1893.0;2543.0;1293.0;3900.0;825.0;164c8953d3af2bbe;Cocoa;permanent;2172.6190476190477
2/Cocoa/permanent;70.0;62.0;61.0;61.0;60.0;70.0;61.0;60.0;55.0;70.0;60.0;61.0;61.0;70.0;60.0;60.0;60.0;240.0;60.0;60.0;60.0;051e9cc7d7636816;Cocoa;permanent;70.57142857142857
20/Cocoa/permanent;5.0;151.0;5.0;5.0;5.0;151.0;5.0;45.0;5.0;5.0;5.0;5.0;5.0;45.0;5.0;5.0;5.0;7.0;5.0;5.0;5.0;1bd7145ed1da044a;Cocoa;permanent;22.80952380952381
21/Cocoa/permanent;6396.0;5610.0;5610.0;2255.0;5613.0;5613.0;6396.0;6346.0;3340.0;7000.0;5613.0;5613.0;3390.0;5610.0;5610.0;5610.0;6396.0;5613.0;3390.0;5610.0;4050.0;1d8a692643f9a15a;Cocoa;permanent;5270.666666666667
23/Cocoa/permanent;3200.0;2155.0;2100.0;2155.0;2048.0;2155.0;3100.0;3400.0;3400.0;3200.0;3200.0;3570.0;2652.0;2100.0;3200.0;3200.0;3048.0;3200.0;3200.0;3100.0;2048.0;205ccde9be499e17;Cocoa;permanent;2830.0476190476193
25/Cocoa/permanent;45.0;45.0;45.0;200.0;45.0;200.0;200.0;250.0;200.0;45.0;45.0;200.0;45.0;45.0;250.0;300.0;200.0;45.0;270.0;250.0;45.0;2631530645ac2ec8;Cocoa;permanent;141.42857142857142
26/Cocoa/permanent;80.0;90.0;90.0;80.0;60.0;90.0;80.0;80.0;60.0;80.0;90.0;80.0;80.0;90.0;80.0;90.0;80.0;60.0;80.0;80.0;60.0;2a6b10e6e68be90e;Cocoa;permanent;79.04761904761905
27/Cocoa/permanent;105.0;;270.0;370.0;270.0;30.0;;115.0;270.0;270.0;290.0;;270.0;240.0;115.0;270.0;;115.0;115.0;;270.0;2ad055c7757d499d;Cocoa;permanent;211.5625
28/Cocoa/permanent;50.0;80.0;;82.0;70.0;70.0;60.0;80.0;80.0;85.0;70.0;50.0;50.0;80.0;82.0;60.0;80.0;81.0;70.0;60.0;50.0;351174f21316c2f0;Cocoa;permanent;69.5
29/Cocoa/permanent;210.0;210.0;100.0;100.0;100.0;150.0;150.0;150.0;150.0;100.0;210.0;100.0;210.0;210.0;100.0;150.0;230.0;100.0;210.0;190.0;150.0;351bc0cbcce79ec9;Cocoa;permanent;156.1904761904762
33/Cocoa/permanent;8000.0;2900.0;2580.0;2900.0;10000.0;10731.0;2900.0;9000.0;314.0;8000.0;275.0;8000.0;7618.0;275.0;4000.0;207.0;10000.0;275.0;314.0;2580.0;2580.0;3fdbc27a4bed0deb;Cocoa;permanent;4449.952380952381
37/Cocoa/permanent;30.0;50.0;50.0;30.0;30.0;50.0;35.0;45.0;50.0;50.0;30.0;100.0;50.0;45.0;45.0;30.0;120.0;45.0;30.0;200.0;30.0;44d800c11a5f3bfa;Cocoa;permanent;54.523809523809526
38/Cocoa/permanent;4000.0;3540.0;4335.0;3295.0;3175.0;3325.0;3445.0;4000.0;2859.0;2605.0;3295.0;2859.0;3539.0;3540.0;5125.0;3443.0;5115.0;5598.0;3443.0;3540.0;5598.0;47564ef7b8c69829;Cocoa;permanent;3794.0
39/Cocoa/permanent;540.0;50.0;540.0;30.0;350.0;55.0;540.0;15.0;540.0;350.0;20.0;70.0;50.0;70.0;350.0;100.0;55.0;540.0;540.0;540.0;350.0;480b0f80325080af;Cocoa;permanent;271.1904761904762
4/Cocoa/permanent;2940.0;5021.0;1491.0;3350.0;1510.0;7369.0;4700.0;6850.0;2940.0;4700.0;3328.0;2940.0;1491.0;2940.0;3900.0;6849.0;3055.0;3330.0;3900.0;7369.0;1206.0;074590cfc1c41ebf;Cocoa;permanent;3865.6666666666665
44/Cocoa/permanent;960.0;1020.0;960.0;960.0;1435.0;1020.0;1020.0;960.0;1000.0;1020.0;1020.0;1020.0;860.0;1020.0;1020.0;1000.0;1020.0;860.0;960.0;960.0;860.0;50a2afbdc678a65f;Cocoa;permanent;997.8571428571429
46/Cocoa/permanent;50.0;50.0;;50.0;100.0;90.0;;;130.0;130.0;90.0;130.0;130.0;;50.0;;90.0;130.0;130.0;100.0;130.0;5214b514b5b440be;Cocoa;permanent;98.75
5/Cocoa/permanent;;83.0;30.0;30.0;38.0;;83.0;;80.0;30.0;80.0;30.0;80.0;30.0;30.0;30.0;83.0;30.0;83.0;;;07bba1a59af78f2d;Cocoa;permanent;53.125
50/Cocoa/permanent;30.0;30.0;;30.0;;30.0;10.0;;10.0;;0.0;10.0;;30.0;;30.0;;;0.0;10.0;30.0;5b6072f8f6d37acc;Cocoa;permanent;19.23076923076923
54/Cocoa/permanent;50.0;208.0;50.0;265.0;124.0;208.0;50.0;124.0;130.0;458.0;50.0;50.0;50.0;50.0;50.0;208.0;208.0;50.0;208.0;50.0;500.0;617532f74ef8ed73;Cocoa;permanent;149.57142857142858
55/Cocoa/permanent;2.0;2.0;2.0;2.0;2.0;40.0;25.0;30.0;;2.0;40.0;2.0;2.0;40.0;2.0;2.0;2.0;2.0;40.0;2.0;40.0;6471ede39ca61b39;Cocoa;permanent;14.05
58/Cocoa/permanent;150.0;200.0;180.0;150.0;260.0;260.0;200.0;150.0;200.0;150.0;250.0;150.0;150.0;240.0;180.0;150.0;200.0;150.0;250.0;150.0;200.0;68f01d67ad163f32;Cocoa;permanent;189.04761904761904
6/Cocoa/permanent;;2.0;3.0;;3.0;3.0;3.0;3.0;;3.0;3.0;3.0;3.0;;;2.0;3.0;;;3.0;2.0;07ce2e79e19977e9;Cocoa;permanent;2.7857142857142856
60/Cocoa/permanent;497.0;1000.0;800.0;363.0;453.0;1120.0;363.0;800.0;533.0;580.0;363.0;680.0;490.0;680.0;363.0;363.0;1000.0;533.0;800.0;680.0;253.0;6cce2bf873870afc;Cocoa;permanent;605.4285714285714
62/Cocoa/permanent;40.0;50.0;50.0;40.0;50.0;50.0;50.0;80.0;50.0;50.0;50.0;40.0;40.0;50.0;40.0;80.0;40.0;40.0;115.0;40.0;50.0;70a4c62beba3c168;Cocoa;permanent;52.142857142857146
63/Cocoa/permanent;;8.0;5.0;120.0;8.0;8.0;8.0;;120.0;120.0;5.0;120.0;;;;120.0;5.0;8.0;5.0;60.0;8.0;71975b563db10671;Cocoa;permanent;45.5
66/Cocoa/permanent;20.0;17.0;3.0;;35.0;35.0;35.0;;48.0;;;48.0;20.0;35.0;25.0;35.0;48.0;48.0;25.0;25.0;20.0;74d75dde6dc4a5ec;Cocoa;permanent;30.705882352941178
69/Cocoa/permanent;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;77c880feff17c521;Cocoa;permanent;10.0
70/Cocoa/permanent;95.0;55.0;95.0;25.0;55.0;95.0;30.0;;95.0;95.0;95.0;95.0;95.0;95.0;55.0;95.0;95.0;95.0;95.0;95.0;95.0;782568ced6ad8838;Cocoa;permanent;82.25
71/Cocoa/permanent;9843.0;1717.0;3329.0;1737.0;1737.0;2455.0;9843.0;1717.0;6700.0;7400.0;6700.0;5027.0;1721.0;3329.0;2455.0;2455.0;3329.0;7400.0;3329.0;7000.0;9843.0;783dbed4df67af9f;Cocoa;permanent;4717.428571428572
72/Cocoa/permanent;411.0;274.0;274.0;274.0;254.0;254.0;;411.0;200.0;254.0;254.0;411.0;;254.0;;;411.0;254.0;254.0;615.0;254.0;7926ffd2861f8dbc;Cocoa;permanent;312.52941176470586
74/Cocoa/permanent;43.0;15.0;111.0;52.0;49.0;21.0;111.0;20.0;63.0;12.0;21.0;68.0;43.0;12.0;15.0;12.0;68.0;68.0;68.0;123.0;12.0;7e56bd83460aabc7;Cocoa;permanent;47.95238095238095
77/Cocoa/permanent;990.0;700.0;700.0;1450.0;500.0;1300.0;583.0;700.0;936.0;990.0;1300.0;700.0;1300.0;700.0;1450.0;1450.0;1300.0;489.0;590.0;700.0;1158.0;80e8ffb027590a74;Cocoa;permanent;951.7142857142857
79/Cocoa/permanent;420.0;1527.0;420.0;300.0;41.0;49.0;25.0;49.0;49.0;420.0;348.0;41.0;300.0;41.0;41.0;300.0;418.0;49.0;410.0;300.0;338.0;855f882ce507aba5;Cocoa;permanent;280.2857142857143
84/Cocoa/permanent;14160.0;22467.0;13637.0;21145.0;10304.0;23897.0;36713.0;13165.0;38569.0;36713.0;10882.0;10535.0;26620.0;18930.0;17395.0;10882.0;10304.0;13637.0;38569.0;20752.0;10305.0;878bd5338ba55697;Cocoa;permanent;19980.04761904762
85/Cocoa/permanent;222.0;5257.0;5257.0;222.0;150.0;4720.0;150.0;1070.0;3120.0;4720.0;870.0;1076.0;2860.0;1070.0;3990.0;222.0;640.0;150.0;639.0;3120.0;1076.0;8910840651ee3971;Cocoa;permanent;1933.3809523809523
89/Cocoa/permanent;20.0;20.0;30.0;20.0;215.0;115.0;115.0;20.0;90.0;20.0;165.0;30.0;30.0;165.0;20.0;30.0;215.0;20.0;50.0;40.0;90.0;8ef25b4985bc557a;Cocoa;permanent;72.38095238095238
90/Cocoa/permanent;2.0;0.0;4.0;1.0;;;2.0;;;;0.0;;2.0;2.0;2.0;8.0;;2.0;;;;902f3a9003f7e637;Cocoa;permanent;2.272727272727273
92/Cocoa/permanent;80.0;80.0;35.0;295.0;60.0;60.0;60.0;60.0;60.0;35.0;80.0;60.0;60.0;80.0;35.0;35.0;295.0;80.0;60.0;35.0;60.0;960b4f2c94a2fb2c;Cocoa;permanent;81.19047619047619
93/Cocoa/permanent;40.0;30.0;30.0;30.0;6.0;36.0;40.0;36.0;30.0;30.0;;36.0;30.0;30.0;40.0;26.0;30.0;;30.0;30.0;30.0;9bc907eeb9e3fc52;Cocoa;permanent;31.05263157894737
