;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;city_code;product;product_type;mean
100/Palm oil/permanent;50.0;50.0;50.0;10.0;50.0;550.0;50.0;350.0;350.0;350.0;50.0;350.0;350.0;50.0;50.0;550.0;50.0;50.0;350.0;50.0;350.0;a454a6655aaaaaed;Palm oil;permanent;195.71428571428572
101/Palm oil/permanent;4200.0;2400.0;4200.0;4200.0;;2400.0;4200.0;;;2400.0;2000.0;4200.0;4200.0;1200.0;10000.0;;4200.0;;;10320.0;4200.0;a4d1e1ff1bc3b830;Palm oil;permanent;4288.0
113/Palm oil/permanent;190.0;190.0;190.0;190.0;190.0;270.0;190.0;300.0;190.0;190.0;270.0;190.0;320.0;190.0;270.0;190.0;190.0;190.0;270.0;270.0;190.0;ba4547c678a9a2e6;Palm oil;permanent;220.47619047619048
115/Palm oil/permanent;17074.0;19387.0;15530.0;17074.0;19387.0;17074.0;19387.0;20893.0;17074.0;19980.0;19387.0;19387.0;17074.0;17074.0;19387.0;9676.0;13741.0;13741.0;15530.0;19387.0;9676.0;be4424aa54f8d2ae;Palm oil;permanent;16996.190476190477
120/Palm oil/permanent;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;150.0;250.0;250.0;250.0;250.0;230.0;250.0;250.0;250.0;c45d8ddba643c0d7;Palm oil;permanent;244.28571428571428
131/Palm oil/permanent;2500.0;2500.0;1500.0;2500.0;4200.0;1500.0;5100.0;4200.0;2500.0;2500.0;1500.0;1500.0;2500.0;4200.0;2500.0;4200.0;5300.0;1500.0;4200.0;4200.0;1500.0;df2cd1cbe849ebd0;Palm oil;permanent;2957.1428571428573
14/Palm oil/permanent;1500.0;1000.0;1500.0;1500.0;1500.0;2000.0;1000.0;1000.0;1500.0;1000.0;1500.0;1500.0;1000.0;800.0;2000.0;2000.0;1500.0;1500.0;1000.0;800.0;1500.0;11645a57d3a1d507;Palm oil;permanent;1361.904761904762
140/Palm oil/permanent;;16.0;16.0;16.0;;;16.0;16.0;16.0;16.0;16.0;16.0;;16.0;16.0;;16.0;;16.0;16.0;16.0;f8e70145d73bd728;Palm oil;permanent;16.0
15/Palm oil/permanent;96.0;96.0;;;;250.0;;96.0;96.0;96.0;96.0;250.0;96.0;;250.0;250.0;96.0;;;250.0;250.0;11b6622567f98f3b;Palm oil;permanent;162.0
23/Palm oil/permanent;500.0;10600.0;600.0;430.0;500.0;500.0;600.0;2600.0;2600.0;2600.0;10600.0;2500.0;8400.0;2500.0;2600.0;600.0;2600.0;1000.0;2600.0;430.0;2600.0;205ccde9be499e17;Palm oil;permanent;2760.0
27/Palm oil/permanent;2000.0;17900.0;;17900.0;350.0;;;;;21600.0;2000.0;350.0;0.0;350.0;2000.0;17900.0;350.0;2000.0;;200.0;;2ad055c7757d499d;Palm oil;permanent;6064.285714285715
35/Palm oil/permanent;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;120.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;41e0f8ccfe523e0d;Palm oil;permanent;100.95238095238095
43/Palm oil/permanent;1200.0;2500.0;400.0;1750.0;400.0;1500.0;2500.0;400.0;2500.0;400.0;1750.0;1200.0;400.0;2500.0;400.0;1200.0;;400.0;;1200.0;400.0;505ceb6546aa8435;Palm oil;permanent;1210.5263157894738
5/Palm oil/permanent;300.0;50.0;310.0;;280.0;400.0;280.0;280.0;310.0;310.0;280.0;280.0;1652.0;50.0;300.0;50.0;280.0;280.0;300.0;280.0;300.0;07bba1a59af78f2d;Palm oil;permanent;328.6
60/Palm oil/permanent;7000.0;7000.0;6700.0;7000.0;9000.0;6700.0;7200.0;13000.0;6700.0;9000.0;6700.0;6700.0;7000.0;7100.0;14000.0;7000.0;7000.0;6700.0;6700.0;6700.0;6700.0;6cce2bf873870afc;Palm oil;permanent;7695.238095238095
62/Palm oil/permanent;7093.0;7678.0;1914.0;1914.0;7678.0;7093.0;1914.0;7678.0;8300.0;7093.0;1920.0;7678.0;7093.0;7093.0;13288.0;7678.0;7093.0;7678.0;7093.0;1914.0;8000.0;70a4c62beba3c168;Palm oil;permanent;6423.0
78/Palm oil/permanent;3097.0;2600.0;2600.0;2900.0;5900.0;2600.0;3097.0;2900.0;2900.0;2600.0;6900.0;2900.0;1990.0;2600.0;2900.0;2700.0;3097.0;3097.0;3097.0;3097.0;2600.0;841ef18dcb3dbc3e;Palm oil;permanent;3151.0476190476193
80/Palm oil/permanent;3100.0;;200.0;3100.0;3100.0;200.0;6235.0;;3100.0;3100.0;;3100.0;3100.0;;3100.0;3100.0;3100.0;3100.0;162.0;3100.0;;857b720c7c979ae1;Palm oil;permanent;2749.8125
117/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;c0019c9a4b4819f2;Palm oil;permanent;
141/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;fa005e1ffef6032a;Palm oil;permanent;
0/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;0307883b5d063703;Palm oil;permanent;
3/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;062ce4c17e84291e;Palm oil;permanent;
136/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;f39d21744916469c;Palm oil;permanent;
123/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;cead2cbd1f8f0b86;Palm oil;permanent;
47/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;56aa50429893f5ca;Palm oil;permanent;
68/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;773cbe24d8fc9fea;Palm oil;permanent;
135/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;f1fd357c5adaa8dc;Palm oil;permanent;
86/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;8a4ab531676691da;Palm oil;permanent;
130/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;df19203419d2ea64;Palm oil;permanent;
64/Palm oil/permanent;;;;;;450.0;;;;;;;;250.0;;;;;;;;72b65b337fc5302a;Palm oil;permanent;350.0
24/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;20e241460ce4140d;Palm oil;permanent;
110/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;b4bb04d2a6472ea0;Palm oil;permanent;
87/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;8ca7766621b0ffe9;Palm oil;permanent;
73/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;7b95e27ce402e6e5;Palm oil;permanent;
13/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;114487007645c940;Palm oil;permanent;
93/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;9bc907eeb9e3fc52;Palm oil;permanent;
69/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;77c880feff17c521;Palm oil;permanent;
81/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;85adcb13676b6172;Palm oil;permanent;
7/Palm oil/permanent;;;;;;0.0;;;;;;;;;;;;0.0;;;0.0;07ed828db19fe8ca;Palm oil;permanent;0.0
12/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;10973d6049af898b;Palm oil;permanent;
6/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;07ce2e79e19977e9;Palm oil;permanent;
85/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;8910840651ee3971;Palm oil;permanent;
104/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;ab984377b2dc0284;Palm oil;permanent;
74/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;7e56bd83460aabc7;Palm oil;permanent;
106/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;ad622472210b0b57;Palm oil;permanent;
96/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;9d8776ac0a78d908;Palm oil;permanent;
52/Palm oil/permanent;;;2000.0;;;;;;;;;;;905.0;;;;;;;;5e7093a1cd2a8779;Palm oil;permanent;1452.5
132/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;e635f6b0f8a98808;Palm oil;permanent;
17/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;164c8953d3af2bbe;Palm oil;permanent;
58/Palm oil/permanent;40.0;;;;;;;;;;;;;;;;;;;;;68f01d67ad163f32;Palm oil;permanent;40.0
11/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;1096f26c5a236d0b;Palm oil;permanent;
137/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;f3c2cc112eb0e6fe;Palm oil;permanent;
36/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;437130e27b6165ec;Palm oil;permanent;
142/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;fae378a53734da72;Palm oil;permanent;
108/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;b0e4b4b27117562a;Palm oil;permanent;
129/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;de1994d393ef525a;Palm oil;permanent;
139/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;f67358b81451a8d1;Palm oil;permanent;
2/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;051e9cc7d7636816;Palm oil;permanent;
18/Palm oil/permanent;;;;;;;;;;;;;;;;;;;;;;18e37d24ff8517ef;Palm oil;permanent;
105/Palm oil/permanent;;35.0;;;35.0;;35.0;;;;35.0;;;;35.0;35.0;;35.0;;35.0;35.0;abcadd700f8948e3;Palm oil;permanent;35.0
