;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;city_code;product;product_type;mean
116/Soy/temporary;;;5.0;;;;10.0;670.0;350.0;260.0;270.0;360.0;265.0;648.0;670.0;160.0;532.0;400.0;470.0;350.0;400.0;be8a37473dc63db0;Soy;temporary;363.75
12/Soy/temporary;;;;;150.0;;1400.0;13672.0;13500.0;15000.0;8000.0;11400.0;10150.0;13672.0;10807.0;10000.0;11800.0;13672.0;11800.0;5000.0;13672.0;10973d6049af898b;Soy;temporary;10230.9375
122/Soy/temporary;;;;;;;;7000.0;850.0;2900.0;2100.0;2800.0;2900.0;10800.0;5520.0;2100.0;3450.0;13860.0;3300.0;;23621.0;cdc89121a4b9478b;Soy;temporary;6246.2307692307695
20/Soy/temporary;50.0;;50.0;620.0;200.0;25.0;4600.0;14660.0;22000.0;17250.0;19500.0;17100.0;18000.0;14660.0;12725.0;15000.0;17800.0;16000.0;17800.0;11000.0;18000.0;1bd7145ed1da044a;Soy;temporary;11852.0
4/Soy/temporary;;;150.0;;150.0;150.0;150.0;800.0;200.0;60.0;200.0;250.0;250.0;3837.0;250.0;200.0;250.0;1500.0;250.0;150.0;2000.0;074590cfc1c41ebf;Soy;temporary;599.8333333333334
45/Soy/temporary;;23.0;;25.0;;;;12000.0;;150.0;;420.0;320.0;12000.0;12000.0;;8000.0;40000.0;2000.0;;48000.0;51db62cb09adc2e8;Soy;temporary;11244.833333333334
48/Soy/temporary;;;;;150.0;;1250.0;32000.0;4000.0;7000.0;5000.0;9000.0;7300.0;70000.0;32000.0;5000.0;20000.0;70000.0;13800.0;2000.0;84000.0;588162e9cdf5d66d;Soy;temporary;22656.25
61/Soy/temporary;;;;;;;500.0;60000.0;9000.0;4630.0;13525.0;5500.0;5500.0;50000.0;32100.0;8000.0;8900.0;67000.0;7000.0;6000.0;66541.0;6f911ef231b0efa7;Soy;temporary;22946.4
69/Soy/temporary;;;;;;;;1000.0;250.0;1000.0;1000.0;;1000.0;2000.0;1000.0;1000.0;1000.0;16000.0;;20.0;17000.0;77c880feff17c521;Soy;temporary;3522.5
71/Soy/temporary;;;;;;;;300.0;;160.0;35.0;80.0;80.0;800.0;300.0;;220.0;650.0;220.0;;650.0;783dbed4df67af9f;Soy;temporary;317.72727272727275
75/Soy/temporary;;130.0;130.0;130.0;270.0;170.0;270.0;1200.0;600.0;1000.0;600.0;1000.0;;745.0;400.0;600.0;350.0;880.0;300.0;250.0;1110.0;7f076b180f941ec8;Soy;temporary;533.421052631579
76/Soy/temporary;30.0;300.0;250.0;300.0;8.0;180.0;200.0;1160.0;670.0;1500.0;1500.0;250.0;1000.0;2040.0;1040.0;1500.0;700.0;4358.0;550.0;200.0;5005.0;807c5037e6993f2c;Soy;temporary;1082.904761904762
86/Soy/temporary;170.0;320.0;100.0;340.0;600.0;;2180.0;32189.0;5100.0;5500.0;6440.0;9500.0;8275.0;32189.0;24466.0;1645.0;7000.0;46000.0;10000.0;3775.0;48500.0;8a4ab531676691da;Soy;temporary;12214.45
87/Soy/temporary;;;;;;200.0;1200.0;1250.0;1650.0;1700.0;1700.0;500.0;1400.0;2500.0;1200.0;1700.0;950.0;3500.0;800.0;1200.0;3808.0;8ca7766621b0ffe9;Soy;temporary;1578.625
88/Soy/temporary;325.0;920.0;1540.0;500.0;1120.0;280.0;3000.0;42000.0;6990.0;11720.0;10000.0;26600.0;14200.0;95000.0;42000.0;6000.0;35354.0;102163.0;37348.0;3259.0;122035.0;8e0eb10270d768f8;Soy;temporary;26778.761904761905
64/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;72b65b337fc5302a;Soy;temporary;
84/Soy/temporary;;;;;;;;;;;120.0;;;55.0;;;;;;;;878bd5338ba55697;Soy;temporary;87.5
127/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;d6f1f98b1745e004;Soy;temporary;
102/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;a51be58f39d1d625;Soy;temporary;
41/Soy/temporary;;;;;;;;20.0;;;;;;;;;;;;;;4c4428f2e4550a5a;Soy;temporary;20.0
111/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;b73e63cd3a2904c9;Soy;temporary;
90/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;902f3a9003f7e637;Soy;temporary;
140/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;f8e70145d73bd728;Soy;temporary;
58/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;68f01d67ad163f32;Soy;temporary;
112/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;ba23b66825fc1c91;Soy;temporary;
96/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;9d8776ac0a78d908;Soy;temporary;
125/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;d0f5f5b9fcecb0d8;Soy;temporary;
80/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;857b720c7c979ae1;Soy;temporary;
2/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;051e9cc7d7636816;Soy;temporary;
109/Soy/temporary;;;;;;;400.0;;400.0;;;;;;;;;;;400.0;;b4829f1e221d9778;Soy;temporary;400.0
132/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;e635f6b0f8a98808;Soy;temporary;
42/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;4de42e351006a2ae;Soy;temporary;
106/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;ad622472210b0b57;Soy;temporary;
78/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;841ef18dcb3dbc3e;Soy;temporary;
7/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;07ed828db19fe8ca;Soy;temporary;
131/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;df2cd1cbe849ebd0;Soy;temporary;
0/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;0307883b5d063703;Soy;temporary;
121/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;cb23149538de1c42;Soy;temporary;
40/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;4b530007d167bd54;Soy;temporary;
37/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;44d800c11a5f3bfa;Soy;temporary;
44/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;50a2afbdc678a65f;Soy;temporary;
79/Soy/temporary;;;;;;;;;;;;;;;;25.0;;;;;;855f882ce507aba5;Soy;temporary;25.0
62/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;70a4c62beba3c168;Soy;temporary;
108/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;b0e4b4b27117562a;Soy;temporary;
30/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;3a5d0e5eb1691b38;Soy;temporary;
22/Soy/temporary;;;;;;;;12300.0;;;;;;12300.0;7069.0;;;12300.0;;;23500.0;20589298110cd872;Soy;temporary;13493.8
120/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;c45d8ddba643c0d7;Soy;temporary;
92/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;960b4f2c94a2fb2c;Soy;temporary;
32/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;3cf541a13002d37b;Soy;temporary;
99/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;a245de687a867003;Soy;temporary;
39/Soy/temporary;;;;;;;;6000.0;;;;;;7800.0;4000.0;;2500.0;15000.0;;;13053.0;480b0f80325080af;Soy;temporary;8058.833333333333
63/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;71975b563db10671;Soy;temporary;
8/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;09791645137aa877;Soy;temporary;
89/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;8ef25b4985bc557a;Soy;temporary;
104/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;ab984377b2dc0284;Soy;temporary;
128/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;d6ffd6d7dfe22d57;Soy;temporary;
11/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;1096f26c5a236d0b;Soy;temporary;
94/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;9bd4f108a319de42;Soy;temporary;
38/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;47564ef7b8c69829;Soy;temporary;
9/Soy/temporary;;;;;;;;;;;;;;;;23.0;;;;;;0dcbfaab30eb40c1;Soy;temporary;23.0
14/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;11645a57d3a1d507;Soy;temporary;
27/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;2ad055c7757d499d;Soy;temporary;
124/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;cf96db4cc35ea025;Soy;temporary;
103/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;a7187a1b5b870cf4;Soy;temporary;
142/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;fae378a53734da72;Soy;temporary;
119/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;c129d0cd5f1afd51;Soy;temporary;
135/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;f1fd357c5adaa8dc;Soy;temporary;
51/Soy/temporary;;;;;;;;;300.0;;615.0;;;;;;;;;;;5e1e131ec84f4c87;Soy;temporary;457.5
114/Soy/temporary;;;;;;;;350.0;;70.0;;70.0;70.0;480.0;180.0;;180.0;680.0;180.0;;375.0;bce36d2f8aa39d8b;Soy;temporary;263.5
68/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;773cbe24d8fc9fea;Soy;temporary;
130/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;df19203419d2ea64;Soy;temporary;
60/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;6cce2bf873870afc;Soy;temporary;
59/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;6a7b8c3ab2bc6c38;Soy;temporary;
137/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;f3c2cc112eb0e6fe;Soy;temporary;
133/Soy/temporary;;150.0;;;;;;;600.0;;600.0;;;;;;;;;475.0;;eac302b92f87d9ca;Soy;temporary;456.25
74/Soy/temporary;;;;;;;;;100.0;;;;;;;;;;;100.0;;7e56bd83460aabc7;Soy;temporary;100.0
136/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;f39d21744916469c;Soy;temporary;
110/Soy/temporary;;;;;;;;;;;;;;;;;;;;;;b4bb04d2a6472ea0;Soy;temporary;
